symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NFLX,2019-04-29 00:00:00+00:00,371.83,374.5753,369.115,373.68,3821703,371.83,374.5753,369.115,373.68,3821703,0.0,1.0
NFLX,2019-04-30 00:00:00+00:00,370.54,374.5,368.348,369.56,3870095,370.54,374.5,368.348,369.56,3870095,0.0,1.0
NFLX,2019-05-01 00:00:00+00:00,378.81,385.99,373.1746,374.0,9257284,378.81,385.99,373.1746,374.0,9257284,0.0,1.0
NFLX,2019-05-02 00:00:00+00:00,379.06,383.5,374.51,378.0,5398167,379.06,383.5,374.51,378.0,5398167,0.0,1.0
NFLX,2019-05-03 00:00:00+00:00,385.03,385.03,378.2717,381.53,5130301,385.03,385.03,378.2717,381.53,5130301,0.0,1.0
NFLX,2019-05-06 00:00:00+00:00,378.67,381.35,376.0,377.69,5793144,378.67,381.35,376.0,377.69,5793144,0.0,1.0
NFLX,2019-05-07 00:00:00+00:00,370.46,379.91,365.81,377.0,6974924,370.46,379.91,365.81,377.0,6974924,0.0,1.0
NFLX,2019-05-08 00:00:00+00:00,364.37,369.0,361.36,367.92,6571957,364.37,369.0,361.36,367.92,6571957,0.0,1.0
NFLX,2019-05-09 00:00:00+00:00,362.75,364.2,352.75,360.9,5882572,362.75,364.2,352.75,360.9,5882572,0.0,1.0
NFLX,2019-05-10 00:00:00+00:00,361.04,365.2578,353.06,361.62,5657123,361.04,365.2578,353.06,361.62,5657123,0.0,1.0
NFLX,2019-05-13 00:00:00+00:00,345.26,354.26,343.1,352.29,8026697,345.26,354.26,343.1,352.29,8026697,0.0,1.0
NFLX,2019-05-14 00:00:00+00:00,345.61,349.95,342.5,348.71,5353029,345.61,349.95,342.5,348.71,5353029,0.0,1.0
NFLX,2019-05-15 00:00:00+00:00,354.99,356.5,341.39,343.34,6340118,354.99,356.5,341.39,343.34,6340118,0.0,1.0
NFLX,2019-05-16 00:00:00+00:00,359.31,364.0,353.935,356.37,6441463,359.31,364.0,353.935,356.37,6441463,0.0,1.0
NFLX,2019-05-17 00:00:00+00:00,354.45,359.62,353.785,356.39,4725448,354.45,359.62,353.785,356.39,4725448,0.0,1.0
NFLX,2019-05-20 00:00:00+00:00,348.11,352.418,345.4,351.23,4621515,348.11,352.418,345.4,351.23,4621515,0.0,1.0
NFLX,2019-05-21 00:00:00+00:00,354.27,356.425,349.93,350.95,4026369,354.27,356.425,349.93,350.95,4026369,0.0,1.0
NFLX,2019-05-22 00:00:00+00:00,359.73,370.46,357.3,358.01,6229389,359.73,370.46,357.3,358.01,6229389,0.0,1.0
NFLX,2019-05-23 00:00:00+00:00,352.21,357.42,347.7,355.5,5630443,352.21,357.42,347.7,355.5,5630443,0.0,1.0
NFLX,2019-05-24 00:00:00+00:00,354.39,359.44,353.791,355.41,3830963,354.39,359.44,353.791,355.41,3830963,0.0,1.0
NFLX,2019-05-28 00:00:00+00:00,354.78,361.2,353.64,354.39,4717144,354.78,361.2,353.64,354.39,4717144,0.0,1.0
NFLX,2019-05-29 00:00:00+00:00,349.19,353.8476,345.9,353.6,5658913,349.19,353.8476,345.9,353.6,5658913,0.0,1.0
NFLX,2019-05-30 00:00:00+00:00,351.85,354.21,348.3,350.55,4008042,351.85,354.21,348.3,350.55,4008042,0.0,1.0
NFLX,2019-05-31 00:00:00+00:00,343.28,349.34,342.92,347.22,5023449,343.28,349.34,342.92,347.22,5023449,0.0,1.0
NFLX,2019-06-03 00:00:00+00:00,336.63,347.66,332.65,343.56,7849589,336.63,347.66,332.65,343.56,7849589,0.0,1.0
NFLX,2019-06-04 00:00:00+00:00,353.4,353.61,343.25,345.0,7891632,353.4,353.61,343.25,345.0,7891632,0.0,1.0
NFLX,2019-06-05 00:00:00+00:00,355.73,357.88,348.71,354.38,5020081,355.73,357.88,348.71,354.38,5020081,0.0,1.0
NFLX,2019-06-06 00:00:00+00:00,357.13,358.21,352.09,354.84,3709955,357.13,358.21,352.09,354.84,3709955,0.0,1.0
NFLX,2019-06-07 00:00:00+00:00,360.87,365.15,355.69,357.39,4777321,360.87,365.15,355.69,357.39,4777321,0.0,1.0
NFLX,2019-06-10 00:00:00+00:00,352.01,367.1,349.285,363.65,7810261,352.01,367.1,349.285,363.65,7810261,0.0,1.0
NFLX,2019-06-11 00:00:00+00:00,351.27,357.58,348.5,355.0,5396712,351.27,357.58,348.5,355.0,5396712,0.0,1.0
NFLX,2019-06-12 00:00:00+00:00,345.56,353.61,343.23,351.82,4584704,345.56,353.61,343.23,351.82,4584704,0.0,1.0
NFLX,2019-06-13 00:00:00+00:00,343.43,348.5,339.25,347.23,6209347,343.43,348.5,339.25,347.23,6209347,0.0,1.0
NFLX,2019-06-14 00:00:00+00:00,339.73,343.4,336.155,341.63,5019011,339.73,343.4,336.155,341.63,5019011,0.0,1.0
NFLX,2019-06-17 00:00:00+00:00,350.62,351.77,342.06,342.69,5358219,350.62,351.77,342.06,342.69,5358219,0.0,1.0
NFLX,2019-06-18 00:00:00+00:00,357.12,361.5,353.75,355.57,5428542,357.12,361.5,353.75,355.57,5428542,0.0,1.0
NFLX,2019-06-19 00:00:00+00:00,363.52,364.74,356.12,361.72,5667156,363.52,364.74,356.12,361.72,5667156,0.0,1.0
